ObjID	dusty_mass	dust_free_mass	star_light_mass	color(u-r)
587722953840787640	9.416	9.425	9.910	1.837
587722981744771278	7.763	7.827	8.906	1.523
587722981750931635	9.386	9.534	9.954	1.547
587722982281445440	8.609	8.719	9.928	1.393
587722982282756185	7.487	7.545	9.563	1.731
587722982292914353	8.361	8.437	9.799	1.759
587722982822838494	9.143	9.210	9.820	1.530
587722982823624834	8.770	8.792	10.125	1.540
587722982824607975	9.208	9.347	9.928	1.687
587722982830768401	7.542	7.611	9.572	1.276
587722982831685673	8.211	8.217	10.100	2.070
587722982837518671	7.986	8.056	10.068	0.966
587722982838305151	7.747	7.769	9.532	0.735
587722983352041500	8.071	8.083	8.934	1.014
587722983353942214	9.319	9.329	10.206	2.324
587722983355318470	7.365	7.527	9.705	1.013
587722983362986125	7.841	7.851	9.108	0.958
587722983368163826	7.138	7.177	9.424	1.649
587725041707712597	8.325	8.395	9.821	1.955
587725041707647104	9.101	9.079	9.787	2.317
587725041707253859	7.969	8.045	9.484	1.335
587725041706991800	9.384	9.399	9.754	2.247
587725041174773916	8.886	8.999	9.854	1.512
587725041170645289	7.180	7.210	7.597	1.026
587725041170383064	8.110	8.199	9.695	1.523
587725041169924175	8.413	8.451	9.818	1.580
587725041164419138	8.896	8.908	9.463	1.847
587725040637182045	8.631	8.690	8.879	1.302
587725040633643055	7.702	7.789	9.965	0.489
587724199892156539	7.765	7.872	10.019	1.262
587725040100769932	7.655	7.703	9.039	0.960
587725040099852300	8.824	8.931	9.713	0.954
587725040097296528	8.524	8.628	9.539	1.363
587724232643117146	8.464	8.555	9.391	1.349
587725039819489359	8.103	8.237	9.340	1.418
587725039561474259	7.915	7.946	8.154	1.354
587725039559573647	7.810	7.925	9.581	1.212
587725039022571672	7.858	7.916	8.595	1.218
587725039022113081	7.880	7.880	9.946	1.225
587724242843926551	8.668	8.860	9.785	1.365
587724648183365721	7.535	7.604	9.740	1.017
587725039018573881	8.501	8.644	9.835	1.206
587725039017001063	8.184	8.299	9.948	1.484
587724648727117941	8.094	8.177	9.648	1.197
587724650873618711	7.333	7.405	9.365	1.503
587724650870931591	7.433	7.483	7.836	1.196
587724650870538258	8.224	8.253	8.887	1.403
587724650870865934	8.195	8.301	9.888	1.460
587724650337009911	7.921	7.984	9.014	1.419
587724650335109245	8.599	8.688	10.064	0.859
587724650330063130	8.622	8.745	9.846	1.388
587724650329473086	8.359	8.438	9.788	0.912
587724649800269920	7.619	7.717	9.767	1.298
587724649799680035	7.763	7.782	9.439	1.158
587724649798828059	7.513	7.525	9.893	1.071
587724649261170823	7.790	7.855	9.816	1.272
587724649256845355	8.465	8.431	10.162	1.882
587724649256124521	9.449	9.636	9.913	1.494
587724648724168865	7.775	8.030	9.459	0.952
587724242843795563	7.919	7.836	9.365	1.337
587724242842878068	8.563	8.036	10.031	1.453
587724242842026102	10.320	8.019	10.196	2.893
587724242303713336	10.032	8.686	10.022	2.156
587725550666645749	8.076	10.357	8.718	1.073
587724241232331116	8.172	9.970	9.786	3.249
587724241232003275	8.954	8.119	9.774	1.595
